ID,Sentence,VALIDITY
1,Je veux aller de Paris à Lyon demain matin.,VALID
2,comment me rendre a bordeaux depuis tours ?,VALID
3,Trajet paris → lille svp.,VALID
4,J’aimerais aller de Marseille jusqu'à Nice.,VALID
5,Je pars de nantes pour rejoindre paris.,VALID
6,de toulouse vers montpellier quels trains sont dispo ?,VALID
7,Je souhaite me rendre à Rennes en partance de Caen.,VALID
8,Départ lyon arrivée marseille merci.,VALID
9,Peux-tu me trouver un train pour Dijon depuis Paris ?,VALID
10,Je dois aller a metz en partant de strasbourg.,VALID
11,depart marseille dest lyon,VALID
12,Aller simple de Brest à Quimper.,VALID
13,J’aimerais un itinéraire Bordeaux Poitiers.,VALID
14,je pars de lille pour aller à roubaix,VALID
15,Montre moi un train entre nîmes et avignon,VALID
16,Je voudrais aller de troyes à paris en passant par nogent.,VALID
17,depuis paris direction orléans,VALID
18,Je veux aller a limoge depuis toulouz,VALID
19,De pau a toulouse je veux un train rapide.,VALID
20,train clermont ferrand vers paris ?,VALID
21,"Arrivée Strasbourg, départ Nancy.",VALID
22,Je pars de dijon pour aller a Besançon.,VALID
23,Itinéraire : marseile -> toulon,VALID
24,Je dois aller à Reims depuis Paris pour un rdv.,VALID
25,Trajet départ tours destination saumur.,VALID
26,J’aimerai rejoindre Arras depuis Amiens.,VALID
27,Peux-tu me calculer un trajet caen paris ?,VALID
28,aller de grenoble direction chambery.,VALID
29,Je veux quitter lens pour aller à lille.,VALID
30,donne moi un trajet depuis paris jusqu'a limoges,VALID
31,je vais de versailles à paris montparnasse,VALID
32,dep marne-la-vallee → dest paris est,VALID
33,Je pars de dijon arrivée nancy.,VALID
34,Je cherche un train pour montelimar depuis valence.,VALID
35,aller a perpignan depuis montpellier st roch,VALID
36,J'aimerais partir de ST ETIENNE pour aller à lyon,VALID
37,Train strasbourg paris ce soir ?,VALID
38,DE MARSEILLE A PARIS,VALID
39,je veux aller de saint-malo a rennes,VALID
40,aller de bordeaux à paris avec mes deux chiens,VALID
41,Je voudrais rejoindre Tarbes depuis Pau.,VALID
42,paris → marne la vallee chessy,VALID
43,"Direction Lille, départ Amiens.",VALID
44,Je pars de Tours pour aller au Mans.,VALID
45,Un billet Montpellier → Nîmes svp,VALID
46,je souhaite aller a bayonne depuis biaritz,VALID
47,depuis reims vers strasbourg trajet ?,VALID
48,Je voudrais aller de Toulon à Marseille.,VALID
49,"Départ Clermont-Ferrand, arrivée Vichy.",VALID
50,Trajet saintes → rochefort merci,VALID
51,je cherche un train de limoges vers poitiers,VALID
52,Je pars de besançon pour rejoindre dijon,VALID
53,aller albi -> toulouse,VALID
54,Je veux aller à orleans depuis paris bercy,VALID
55,"Depuis Nancy, je voudrais aller a Metz.",VALID
56,aller a paris en partant de marseille st charles,VALID
57,De lille à bordeaux quel train existe ?,VALID
58,itinéraire de nice pour marseille,VALID
59,je veux rejoindre angers depuis nantes ce soir,VALID
60,aller de lyon part dieu a geneve,VALID
61,Direction Poitiers depuis Angoulême.,VALID
62,Je pars de cognac pour aller à saintes.,VALID
63,depuis quimper je veux aller à brest,VALID
64,train paris versailles maintenant,VALID
65,Aller Toulouse - Tarbes merci,VALID
66,J’aimerais aller de Dunkerque à Calais.,VALID
67,Je vais de Toulon jusqu’à Cannes.,VALID
68,Je cherche un itinéraire depuis Grenoble vers Gap.,VALID
69,je voudré alé de Montpelié a Nime,VALID
70,"De Metz à Luxembourg, quel train ?",VALID
71,J'adore paris c'est une belle ville.,INVALID
72,Bordeaux c'est loin je crois.,INVALID
73,Albert et Paris viennent ce soir dîner.,INVALID
74,Je suis à Lyon.,INVALID
75,Paris Marseille c’est un bon match de foot.,INVALID
76,Peux-tu m'expliquer l’histoire de Lille ?,INVALID
77,Je veux aller quelque part mais je sais pas où.,INVALID
78,Train train train lalala.,INVALID
79,J’ai perdu mon billet hier.,INVALID
80,Est-ce que la SNCF est ouverte dimanche ?,INVALID
81,je dois appeler ma mère à bordeaux,INVALID
82,Je vais acheter un vélo pour paris,INVALID
83,Donne-moi une liste de gares françaises.,INVALID
84,vers où aller ?,INVALID
85,J’ai envie de voyager un jour peut-être.,INVALID
86,le train c'est trop cher,INVALID
87,BONJOUR,INVALID
88,je veux aller la bas,INVALID
89,paris florence ce sont mes amis,INVALID
90,quelle heure est-il à lyon ?,INVALID
91,Je veux partir mais aucune destination précise.,INVALID
92,As-tu des infos sur les retards SNCF ?,INVALID
93,Je lis un article sur Marseille.,INVALID
94,Je ne veux pas prendre le train aujourd’hui.,INVALID
95,J’aimerais cuisiner des pâtes à la carbonara.,INVALID
96,depart ??? dest ???,INVALID
97,je veux aller de chez moi à l'école,INVALID
98,Caen… ou peut-être Rouen… je sais pas,INVALID
99,Quel temps fait-il à Dijon ?,INVALID
100,Je n’aime pas les TGV.,INVALID
101,"Montpellier est joli, voilà.",INVALID
102,Peux-tu trouver un itinéraire ?,INVALID
103,Mon chat s'appelle Marseille,INVALID
104,paris c'est mon chien,INVALID
105,Je pars bientôt en vacances mais je ne sais pas où.,INVALID
106,route marseille paris voiture,INVALID
107,traiiin trajet paris lolz,INVALID
108,aller de * * * * *,INVALID
109,mon copain paris veut venir ce soir,INVALID
110,TEST DATA 123456,INVALID
111,J'ai entendu que Toulouse est belle mais je ne voyage pas.,INVALID
112,Je ne vais nulle part aujourd’hui.,INVALID
113,Peux-tu me raconter l’histoire des trains ?,INVALID
114,J’aime les gares anciennes.,INVALID
115,Paris sera toujours Paris.,INVALID
116,Ma destination préférée c’est la mer.,INVALID
117,Pourquoi les trains sont rouges ?,INVALID
118,Je voudrais juste dormir.,INVALID
119,Quel est le meilleur sandwich à Lyon ?,INVALID
120,Je mange un croissant à Marseille.,INVALID
121,Est-ce que Dijon fait du bon pain d'épices ?,INVALID
122,Je veux juste marcher un peu dehors.,INVALID
123,Ceci n'est pas une phrase de trajet.,INVALID
124,J'aime le mot Bordeaux.,INVALID
125,Regarde cette vidéo sur Nantes.,INVALID
126,Mon chien a mangé mon ticket.,INVALID
127,Je suis perdu mais je ne sais pas où.,INVALID
128,Peux-tu me rappeler de boire de l’eau ?,INVALID
129,Je veux aller très loin un jour mais pas maintenant.,INVALID
130,Nice est jolie en été.,INVALID
131,"Je vais peut-être, éventuellement, songer à partir.",INVALID
132,Les trains font trop de bruit.,INVALID
133,Je suis fatigué.,INVALID
134,Est-ce que Rouen est une bonne ville pour étudier ?,INVALID
135,Lille ça s'écrit comment déjà ?,INVALID
136,Je dois acheter un cadeau.,INVALID
137,Le ciel est bleu à Marseille.,INVALID
138,Je prends ma voiture aujourd’hui.,INVALID
139,Je n’ai pas envie de sortir.,INVALID
140,Qu’est-ce qu’un TGV exactement ?,INVALID
141,Paris est-elle une capitale ?,INVALID
142,Je fais la cuisine.,INVALID
143,Je vais au sport.,INVALID
144,C’est quoi la définition d’un train ?,INVALID
145,Je suis déjà arrivé.,INVALID
146,Un jour j’irai peut-être à Rennes.,INVALID
147,Je n’ai pas de destination.,INVALID
148,Je dois marcher jusqu'au supermarché.,INVALID
149,Je vais juste dehors pour prendre l’air.,INVALID
150,Peux-tu écrire un poème sur Lyon ?,INVALID
151,Je veux parler de Marseille mais pas y aller.,INVALID
152,Ce texte est un test.,INVALID
153,Je suis dans mon salon.,INVALID
154,J'ai du travail à faire.,INVALID
155,Peux-tu traduire ce mot ?,INVALID
156,Je veux aller bien dans ma vie.,INVALID
157,Il fait froid.,INVALID
158,Je regarde Netflix.,INVALID
159,Le train c’est cool mais bref.,INVALID
160,Peux-tu me donner un synonyme de Paris ?,INVALID
161,Je n’ai pas décidé si je voyage.,INVALID
162,Faut-il un billet pour voyager en avion ?,INVALID
163,J’aime écouter de la musique.,INVALID
164,Je suis juste curieux.,INVALID
165,Je dois ranger ma chambre.,INVALID
166,J’attends un message.,INVALID
167,Ceci est une phrase totalement hors sujet.,INVALID
169,trajet depuis rouen vers le havre stp,VALID
170,aller de mulhouse a colmar rapidement,VALID
171,je pars de annecy pour rejoindre geneve,VALID
172,depuis angouleme direction bordeaux,VALID
173,je voudré aller de niort a la rochelle,VALID
174,trajet saint nazaire nantes svp,VALID
175,de cherbourg vers caen quel train,VALID
176,je veu partir de laval pour aller au mans,VALID
177,aller a chartres depuis orleans,VALID
178,depuis troyes je veu aller a reims,VALID
179,trajet evreux vers rouen merci,VALID
180,je pars de meaux pour rejoindre paris est,VALID
181,de compiegne a creil train rapide,VALID
182,aller de beauvais vers paris nord,VALID
183,je voudré alé de lens a arras,VALID
184,depuis calais direction dunkerque,VALID
185,trajet boulogne sur mer vers calais,VALID
186,je veu aller de douai a valenciennes,VALID
187,depuis cambrai je pars vers lille,VALID
188,aller de maubeuge a valenciennes,VALID
189,de hazebrouck vers lille flandres,VALID
190,je voudré rejoindre bethune depuis lens,VALID
191,trajet depuis armentieres vers lille,VALID
192,je pars de saint omer pour aller a calais,VALID
193,aller de berck sur mer a boulogne,VALID
194,depuis abbeville direction amiens,VALID
195,je veu alé de montdidier a compiegne,VALID
196,trajet depuis soissons vers laon,VALID
197,de chateau thierry a reims train,VALID
198,je voudré aller de epernay a chalons en champagne,VALID
199,depuis verdun je pars vers metz,VALID
200,aller de bar le duc a nancy,VALID
201,de epinal vers nancy quel train,VALID
202,je veu rejoindre saint die depuis epinal,VALID
203,trajet depuis remiremont vers epinal,VALID
204,je pars de thionville pour aller a luxembourg,VALID
205,aller de forbach a sarreguemines,VALID
206,depuis sarrebourg direction strasbourg,VALID
207,je voudré alé de selestat a colmar,VALID
208,trajet depuis obernai vers strasbourg,VALID
209,de saverne a strasbourg train,VALID
210,je veu aller de haguenau a strasbourg,VALID
211,depuis wissembourg direction strasbourg,VALID
212,aller de bitche vers sarreguemines,VALID
213,je pars de phalsbourg pour rejoindre strasbourg,VALID
214,trajet depuis molsheim vers strasbourg,VALID
215,de sélestat a colmar rapidement,VALID
216,je voudré aller de guebwiller a mulhouse,VALID
217,depuis thann je veu aller a mulhouse,VALID
218,aller de belfort vers mulhouse,VALID
219,de montbeliard a belfort train,VALID
220,je pars de lons le saunier pour aller a besancon,VALID
221,trajet depuis dole vers dijon,VALID
222,je veu rejoindre auxerre depuis dijon,VALID
223,depuis sens direction paris,VALID
224,aller de joigny a auxerre,VALID
225,de cosne sur loire a nevers,VALID
226,je voudré alé de decize a nevers,VALID
227,trajet depuis moulins vers vichy,VALID
228,je pars de roanne pour aller a saint etienne,VALID
229,depuis firminy direction saint etienne,VALID
230,aller de montbrison a roanne,VALID
231,de thiers vers clermont ferrand,VALID
232,je veu aller de riom a clermont ferrand,VALID
233,trajet depuis issoire vers clermont,VALID
234,je voudré rejoindre le puy en velay depuis brioude,VALID
235,depuis langogne je pars vers le puy,VALID
236,aller de mende a marvejols,VALID
237,de florac vers mende train,VALID
238,je veu alé de ales a nimes,VALID
239,trajet depuis uzes vers nimes,VALID
240,je pars de beaucaire pour rejoindre arles,VALID
241,depuis tarascon direction arles,VALID
242,aller de salon de provence a aix,VALID
243,de pertuis vers aix en provence,VALID
244,je voudré aller de manosque a digne,VALID
245,trajet depuis sisteron vers gap,VALID
246,je veu rejoindre embrun depuis gap,VALID
247,depuis briancon direction gap,VALID
248,aller de guillestre vers gap,VALID
249,de serre poncon a gap train,VALID
250,je pars de bourg saint maurice pour aller a albertville,VALID
251,trajet depuis moutiers vers albertville,VALID
252,je veu alé de albertville a chambery,VALID
253,depuis aix les bains direction chambery,VALID
254,aller de rumilly vers annecy,VALID
255,de bellegarde a annecy train,VALID
256,je voudré aller de seyssel a bellegarde,VALID
257,trajet depuis culoz vers bellegarde,VALID
258,je pars de ambérieu pour rejoindre bourg en bresse,VALID
259,depuis macon je veu aller a villefranche,VALID
260,aller de trevoux vers villefranche,VALID
261,de belleville a villefranche train,VALID
262,je veu rejoindre tarare depuis villefranche,VALID
263,trajet depuis thizy vers roanne,VALID
264,je voudré alé de montbrison a feurs,VALID
265,depuis boen direction montbrison,VALID
266,aller de saint just sur loire a montbrison,VALID
267,de saint etienne a firminy rapidement,VALID
268,je pars de rive de gier pour aller a saint etienne,VALID
269,trajet depuis givors vers lyon,VALID
270,je veu aller de vienne a lyon,VALID
271,depuis roussillon direction vienne,VALID
272,aller de tain l'hermitage vers valence,VALID
273,de tournon a valence train,VALID
274,je voudré rejoindre privas depuis valence,VALID
275,trajet depuis le teil vers montelimar,VALID
276,je pars de pierrelatte pour aller a montelimar,VALID
277,depuis orange je veu aller a avignon,VALID
278,aller de carpentras vers avignon,VALID
279,de cavaillon a avignon train,VALID
280,je veu alé de apt vers avignon,VALID
281,trajet depuis pernes vers avignon,VALID
282,je voudré aller de l'isle sur sorgue a avignon,VALID
283,depuis bollene direction orange,VALID
284,aller de pont saint esprit vers orange,VALID
285,de bagnols sur ceze a ales,VALID
286,je pars de sumene pour rejoindre ales,VALID
287,trajet depuis anduze vers ales,VALID
288,je veu aller de quissac a nimes,VALID
289,depuis sommieres direction nimes,VALID
290,aller de vauvert vers nimes,VALID
291,de aigues mortes a nimes train,VALID
292,je voudré rejoindre montpellier depuis nimes,VALID
293,trajet depuis lunel vers montpellier,VALID
294,je pars de frontignan pour aller a sete,VALID
295,depuis meze direction sete,VALID
296,aller de pezenas vers beziers,VALID
297,de valras plage a beziers train,VALID
298,je veu alé de servian vers beziers,VALID
299,trajet depuis capestang vers beziers,VALID
300,je voudré aller de narbonne a beziers,VALID
301,depuis lezignan corbieres direction narbonne,VALID
302,aller de carcassonne vers narbonne,VALID
303,de limoux a carcassonne train,VALID
304,je pars de quillan pour rejoindre limoux,VALID
305,trajet depuis couiza vers quillan,VALID
306,je veu aller de esperaza a quillan,VALID
307,depuis axat direction quillan,VALID
308,aller de belcaire vers quillan,VALID
309,de mirepoix a pamiers train,VALID
310,je voudré rejoindre foix depuis pamiers,VALID
311,trajet depuis varilhes vers foix,VALID
312,je pars de tarascon sur ariege pour aller a foix,VALID
313,depuis luzenac direction ax les thermes,VALID
314,aller de merens vers ax les thermes,VALID
315,de l'hopital vers ax train,VALID
316,je veu alé de saint girons a foix,VALID
317,trajet depuis massat vers saint girons,VALID
318,je voudré aller de seix vers saint girons,VALID
319,depuis oust direction saint girons,VALID
320,aller de la bastide de serou vers foix,VALID
321,de saint lizier a saint girons train,VALID
322,je pars de mazeres pour rejoindre pamiers,VALID
323,trajet depuis saverdun vers pamiers,VALID
324,je veu aller de calmont vers pamiers,VALID
325,depuis le fossat direction pamiers,VALID
326,aller de varilhes vers pamiers,VALID
327,de montaut vers pamiers train,VALID
328,je voudré rejoindre toulouse depuis pamiers,VALID
329,trajet depuis auterive vers toulouse,VALID
330,je pars de cintegabelle pour aller a toulouse,VALID
331,depuis muret direction toulouse,VALID
332,aller de portet sur garonne vers toulouse,VALID
333,de muret a toulouse train,VALID
334,je veu alé de carbonne vers muret,VALID
335,trajet depuis cazeres vers muret,VALID
336,je voudré aller de martres vers cazeres,VALID
337,depuis saint martory direction cazeres,VALID
338,aller de salies du salat vers saint martory,VALID
339,de boussens a saint martory train,VALID
340,je pars de saint gaudens pour rejoindre montrejeau,VALID
341,trajet depuis luchon vers montrejeau,VALID
342,je veu aller de bagneres de luchon a montrejeau,VALID
343,depuis salechan direction luchon,VALID
344,aller de cierp gaud vers salechan,VALID
345,de marignac vers luchon train,VALID
346,je voudré rejoindre tarbes depuis luchon,VALID
347,trajet depuis lannemezan vers tarbes,VALID
348,je pars de capvern pour aller a lannemezan,VALID
349,depuis bagnères de bigorre direction tarbes,VALID
350,aller de lourdes vers tarbes,VALID
351,de pierrefitte nestalas a lourdes train,VALID
352,je veu alé de argeles gazost vers lourdes,VALID
353,trajet depuis luz saint sauveur vers lourdes,VALID
354,je voudré aller de barèges vers luz,VALID
355,depuis gavarnie direction luz,VALID
356,aller de gedre vers luz,VALID
357,de cauterets a pierrefitte train,VALID
358,je pars de argeles vers pierrefitte,VALID
359,trajet depuis oloron sainte marie vers pau,VALID
360,je veu rejoindre pau depuis oloron,VALID
361,depuis bedous direction oloron,VALID
362,aller de accous vers bedous,VALID
363,de cette eygun a accous train,VALID
364,je voudré aller de laruns vers oloron,VALID
365,trajet depuis eaux bonnes vers laruns,VALID
366,je pars de eaux chaudes pour aller a laruns,VALID
367,depuis arudy direction oloron,VALID
368,aller de buzy vers pau,VALID
369,de gan vers pau train,VALID
370,je veu alé de lons vers pau,VALID
371,trajet depuis artix vers pau,VALID
372,je voudré aller de orthez vers pau,VALID
373,depuis salies de bearn direction orthez,VALID
374,aller de puyoo vers orthez,VALID
375,de sauveterre de bearn a orthez train,VALID
376,je pars de navarrenx pour rejoindre orthez,VALID
377,trajet depuis mauléon vers orthez,VALID
378,je veu aller de tardets vers mauléon,VALID
379,depuis osses direction mauléon,VALID
380,aller de saint jean pied de port vers osses,VALID
381,de saint palais a mauléon train,VALID
382,je voudré rejoindre bayonne depuis mauléon,VALID
383,trajet depuis hasparren vers bayonne,VALID
384,je pars de cambo les bains pour aller a bayonne,VALID
385,depuis espelette direction cambo,VALID
386,aller de itxassou vers espelette,VALID
387,de souraide a espelette train,VALID
388,je veu alé de ainhoa vers espelette,VALID
389,trajet depuis sare vers ainhoa,VALID
390,je voudré aller de urrugne vers saint jean de luz,VALID
391,depuis ciboure direction saint jean de luz,VALID
392,aller de hendaye vers irun,VALID
393,de biriatou a hendaye train,VALID
394,je pars de bidart pour rejoindre biarritz,VALID
395,trajet depuis anglet vers biarritz,VALID
396,je veu aller de bayonne vers biarritz,VALID
397,depuis bayonne je pars vers dax,VALID
398,aller de labenne vers dax,VALID
399,de capbreton a dax train,VALID
400,je voudré rejoindre mont de marsan depuis dax,VALID
401,trajet depuis ygos vers mont de marsan,VALID
402,je pars de morcenx pour aller a mont de marsan,VALID
403,depuis tartas direction mont de marsan,VALID
404,aller de roquefort vers mont de marsan,VALID
405,de villeneuve de marsan a mont de marsan train,VALID
406,je veu alé de hagetmau vers mont de marsan,VALID
407,trajet depuis amou vers dax,VALID
408,je voudré aller de peyrehorade vers dax,VALID
409,depuis orthevielle direction peyrehorade,VALID
410,aller de port de lanes vers peyrehorade,VALID
411,de sorde l'abbaye a peyrehorade train,VALID
412,je pars de salies de salat pour rejoindre toulouse,VALID
